rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial
3327.3999996185303,,directmemory_phase,921106,,GW/wheelchair.jpg,,,,51,,,1,0.96,GW/barrel.jpg,GW/paint.jpg,GW/camera.jpg,GW/camera.jpg,GW/paint.jpg,GW/barrel.jpg,1,,,,,,,
null,,html-keyboard-response,922115,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1734.6999998092651,,directmemory_phase,923852,,GW/globe.jpg,,,,51,,,1,0.9615384615384616,GW/jukebox.jpg,GW/basket.jpg,GW/barrel.jpg,GW/barrel.jpg,GW/basket.jpg,GW/jukebox.jpg,1,,,,,,,
null,,html-keyboard-response,924856,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
3988.4000005722046,,directmemory_phase,928846,,GW/paint.jpg,,,,50,,,1,0.9629629629629629,GW/wheelchair.jpg,GW/teeth.jpg,GW/hat.jpg,GW/teeth.jpg,GW/wheelchair.jpg,GW/hat.jpg,1,,,,,,,
null,,html-keyboard-response,929861,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
4427.700000762939,,directmemory_phase,934290,,GW/jukebox.jpg,,,,51,,,1,0.9642857142857143,GW/camera.jpg,GW/barrel.jpg,GW/basket.jpg,GW/basket.jpg,GW/barrel.jpg,GW/camera.jpg,1,,,,,,,
null,,html-keyboard-response,935301,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
3334.5999994277954,,directmemory_phase,938637,,GW/barrel.jpg,,,,49,,,1,0.9655172413793104,GW/paint.jpg,GW/soldier.jpg,GW/camera.jpg,GW/paint.jpg,GW/camera.jpg,GW/soldier.jpg,1,,,,,,,
null,,html-keyboard-response,939651,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
2752.8999996185303,,directmemory_phase,942405,,GW/teeth.jpg,,,,49,,,1,0.9666666666666667,GW/basket.jpg,GW/snail.jpg,GW/barrel.jpg,GW/basket.jpg,GW/barrel.jpg,GW/snail.jpg,1,,,,,,,
null,,html-keyboard-response,943411,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
4648.599999427795,,directmemory_phase,948061,,GW/barrel.jpg,,,,50,,,1,0.967741935483871,GW/jukebox.jpg,GW/globe.jpg,GW/soldier.jpg,GW/globe.jpg,GW/jukebox.jpg,GW/soldier.jpg,1,,,,,,,
null,,html-keyboard-response,949067,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
2854.300000190735,,directmemory_phase,951923,,GW/paint.jpg,,,,51,,,1,0.96875,GW/dustpan.jpg,GW/globe.jpg,GW/basket.jpg,GW/basket.jpg,GW/globe.jpg,GW/dustpan.jpg,1,,,,,,,
null,,html-keyboard-response,952932,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
8593.699999809265,,intro_1,961527,,instruct,,0,,,,,,,,,,,,,,,,,,,,
4258.800000190735,,intro_2,965788,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,
1818.6999998092651,,intro_3,967609,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,
3702.2000007629395,,intro_4,971313,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,
7518.800000190735,,intro_5,978835,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,
