rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,black_cross(without_color),247020,,yellow,,,,null,GW/peoria.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,247522,,yellow,,,,null,GW/peoria.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
1101.7000000001863,,rt_thecrossant_black,248941,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,249045,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),252049,,black_plus_sign,,,,null,GW/peoria.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),252846,,blue,,,,null,GW/peoria.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,253349,,blue,,,,null,GW/peoria.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
1005.3999999999069,,rt_thecrossant_black,254559,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,254663,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),257667,,black_plus_sign,,,,null,GW/hotsprings.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),258101,,blue,,,,null,GW/hotsprings.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,258604,,blue,,,,null,GW/hotsprings.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
1489.4000000003725,,rt_thecrossant_black,260178,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,260282,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),263286,,black_plus_sign,,,,null,GW/boulder.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),263824,,blue,,,,null,GW/boulder.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,264327,,blue,,,,null,GW/boulder.png,GW/newhope.png,,,,,,,,,,,,,,,,,
790.1000000000931,,rt_thecrossant_black,265795,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,265898,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),268903,,black_plus_sign,,,,null,GW/hotsprings.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),269659,,blue,,,,null,GW/hotsprings.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,270162,,blue,,,,null,GW/hotsprings.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
913.5999999996275,,rt_thecrossant_black,271414,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,271517,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),274522,,black_plus_sign,,,,null,GW/shreveport.png,GW/huntsville.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),275257,,blue,,,,null,GW/shreveport.png,GW/huntsville.png,,,,,,,,,,,,,,,,,
